Tree,GroupParent,GroupRead,GroupModify,GroupDescription,RealPath,,,,,,
\1_Contact_Center,ACCELMU-NKM-KSG-READ,ACCELMU-NKM-KSG-1_Contact_Center-READ,empty,\\aekpfp01\KSG\1_Contact_Center,M:\MNT-NKM-KSG\1_Contact_Center,,,,,,
\1_Contact_Center\11_KOZOS,ACCELMU-NKM-KSG-1_Contact_Center-READ,ACCELMU-NKM-KSG-1_Contact_Center-11_KOZOS-READ,empty,\\aekpfp01\KSG\1_Contact_Center\11_KOZOS,M:\MNT-NKM-KSG\1_Contact_Center\11_KOZOS,,,,,,
\1_Contact_Center\12_SUPERV,ACCELMU-NKM-KSG-1_Contact_Center-READ,ACCELMU-NKM-KSG-1_Contact_Center-12_SUPERV-READ,empty,\\aekpfp01\KSG\1_Contact_Center\12_SUPERV,M:\MNT-NKM-KSG\1_Contact_Center\12_SUPERV,,,,,,
\1_Contact_Center\13_VEZETES,ACCELMU-NKM-KSG-1_Contact_Center-READ,ACCELMU-NKM-KSG-1_Contact_Center-13_VEZETES-READ,empty,\\aekpfp01\KSG\1_Contact_Center\13_VEZETES,M:\MNT-NKM-KSG\1_Contact_Center\13_VEZETES,,,,,,
\1_Contact_Center\14_MENTOR,ACCELMU-NKM-KSG-1_Contact_Center-READ,ACCELMU-NKM-KSG-1_Contact_Center-14_MENTOR-READ,empty,\\aekpfp01\KSG\1_Contact_Center\14_MENTOR,M:\MNT-NKM-KSG\1_Contact_Center\14_MENTOR,,,,,,
\1_Contact_Center\15_DKKOZ,ACCELMU-NKM-KSG-1_Contact_Center-READ,ACCELMU-NKM-KSG-1_Contact_Center-15_DKKOZ-READ,empty,\\aekpfp01\KSG\1_Contact_Center\15_DKKOZ,M:\MNT-NKM-KSG\1_Contact_Center\15_DKKOZ,,,,,Előtag:,ACCELMU-NKM-KSG
\1_Contact_Center\16_DKSUP,ACCELMU-NKM-KSG-1_Contact_Center-READ,ACCELMU-NKM-KSG-1_Contact_Center-16_DKSUP-READ,empty,\\aekpfp01\KSG\1_Contact_Center\16_DKSUP,M:\MNT-NKM-KSG\1_Contact_Center\16_DKSUP,,,,,Path előtag:,M:\MNT-NKM-KSG
\2_SZKK,ACCELMU-NKM-KSG-READ,ACCELMU-NKM-KSG-2_SZKK-READ,empty,\\aekpfp01\KSG\2_SZKK,M:\MNT-NKM-KSG\2_SZKK,,,,,Description előtag:,\\aekpfp01\KSG
\2_SZKK\21_SZF\SUPERVISOR\,ACCELMU-NKM-KSG-2_SZKK-21_SZF-READ,ACCELMU-NKM-KSG-2_SZKK-21_SZF-SUPERVISOR-READ,ACCELMU-NKM-KSG-2_SZKK-21_SZF-SUPERVISOR-MOD,\\aekpfp01\KSG\2_SZKK\21_SZF\SUPERVISOR\,M:\MNT-NKM-KSG\2_SZKK\21_SZF\SUPERVISOR\,,,,,,
\2_SZKK\21_SZF\FSZLA\,ACCELMU-NKM-KSG-2_SZKK-21_SZF-READ,ACCELMU-NKM-KSG-2_SZKK-21_SZF-FSZLA-READ,ACCELMU-NKM-KSG-2_SZKK-21_SZF-FSZLA-MOD,\\aekpfp01\KSG\2_SZKK\21_SZF\FSZLA\,M:\MNT-NKM-KSG\2_SZKK\21_SZF\FSZLA\,,,,,,
